1,0,8,22.8
1,0,8,52.8
1,10,20,58.2
1,30,40,51.9
1,70,80,49.7
2,0,10,61.1
2,10,20,63.4
2,30,40,65.4
2,70,80,65.4
3,0,6,66.7
3,10,20,68.3
3,30,40,69
3,70,80,71.9
4,0,10,66.7
4,10,20,68.9
4,30,40,69.2
4,70,80,55.1
5,0,10,59.1
6,0,10,50.9
6,10,20,53.6
6,30,40,50.5
6,70,80,59.4
7,0,10,50.3
7,12,20,53.1
7,30,40,52
7,72,80,54.7
8,0,9,49.6
8,10,20,53.2
8,30,40,54.5
8,70,80,62.2
9,0,8,62.3
9,10,20,63.3
9,30,40,63.7
9,50,60,62.8
9,70,80,68.9
10,0,10,58.4
10,10,20,59
10,30,40,58.7
10,52,60,62.4
10,70,80,64.6
11,0,7,70.6
11,10,20,67.8
11,30,40,68.4
11,70,80,65.8
12,0,10,53
12,10,20,53.6
12,30,40,55.1
12,70,80,58.1
13,0,10,57.4
13,12,20,56.3
13,20,30,62.1
13,30,40,62.7
13,70,80,63.8
14,0,10,50.1
14,10,20,56.1
14,30,40,57.6
14,70,80,57.4
15,0,10,55.2
15,10,20,56
15,30,40,56.1
15,70,80,55.4
16,0,6,59
16,10,20,59.3
16,30,40,59.7
16,70,80,60.6
17,0,10,54.1
17,10,20,55.1
17,30,40,56.5
17,70,80,57.6
18,0,10,25.8
18,10,20,26.6
18,30,40,28.8
18,70,80,34
19,0,10,52.8
19,10,20,60
19,30,40,56.5
19,70,82,48.5
20,0,10,71.6
20,10,20,73.2
20,30,40,72
20,70,80,72.1
21,0,10,65
21,10,20,66.2
21,30,38,64.1
21,70,80,67.6
22,0,7,58
22,10,16,57.9
22,30,40,57.4
22,70,80,61.1
23,0,10,58
23,10,20,57.8
23,30,40,58.6
23,70,80,62.5
24,0,10,50.5
24,10,20,52.7
24,30,40,53.1
24,70,80,52.5
25,0,5,53.4
25,5,10,54.9
25,10,20,58.1
25,30,40,57.3
25,50,60,58.1
25,70,80,57.8
26,0,6,55.2
26,10,20,58.1
26,30,40,57
26,70,80,64.1
27,0,10,44.3
27,10,20,45.6
27,30,40,46.7
27,70,80,51
28,0,9,45.2
28,10,20,46.3
28,30,40,49.4
28,70,80,53.4
29,0,10,51
29,10,20,51.2
29,30,40,50.7
29,70,80,55.4
30,0,10,39.9
30,10,20,42.4
30,30,40,62.2
30,70,80,63.7
31,0,10,52.7
31,10,20,46.3
31,30,40,44.4
31,70,80,46.8
32,0,10,50.5
32,10,20,51.4
32,30,40,50.5
